yearID,teamID,name
1887,NY1,New York Giants
1887,NY4,New York Metropolitans
1887,PH4,Philadelphia Athletics
1887,PHI,Philadelphia Quakers
1887,PIT,Pittsburg Alleghenys
1887,SL4,St. Louis Browns
1887,WS8,Washington Nationals
1888,BL2,Baltimore Orioles
1888,BR3,Brooklyn Bridegrooms
1888,BSN,Boston Beaneaters
1888,CHN,Chicago White Stockings
1888,CL3,Cleveland Blues
1888,CN2,Cincinnati Red Stockings
1888,DTN,Detroit Wolverines
1888,IN3,Indianapolis Hoosiers
1888,KC2,Kansas City Cowboys
1888,LS2,Louisville Colonels
1888,NY1,New York Giants
1888,PH4,Philadelphia Athletics
1888,PHI,Philadelphia Quakers
1888,PIT,Pittsburg Alleghenys
1888,SL4,St. Louis Browns
1888,WS8,Washington Nationals
1889,BL2,Baltimore Orioles
1889,BR3,Brooklyn Bridegrooms
1889,BSN,Boston Beaneaters
1889,CHN,Chicago White Stockings
1889,CL4,Cleveland Spiders
1889,CL6,Columbus Solons
1889,CN2,Cincinnati Red Stockings
1889,IN3,Indianapolis Hoosiers
1889,KC2,Kansas City Cowboys
1889,LS2,Louisville Colonels
1889,NY1,New York Giants
1889,PH4,Philadelphia Athletics
1889,PHI,Philadelphia Quakers
1889,PIT,Pittsburg Alleghenys
1889,SL4,St. Louis Browns
1889,WS8,Washington Nationals
1890,BFP,Buffalo Bisons
1890,BL3,Baltimore Orioles
1890,BR4,Brooklyn Gladiators
1890,BRO,Brooklyn Bridegrooms
1890,BRP,Brooklyn Ward's Wonders
1890,BSN,Boston Beaneaters
1890,BSP,Boston Reds
1890,CHN,Chicago Colts
1890,CHP,Chicago Pirates
1890,CIN,Cincinnati Reds
1890,CL4,Cleveland Spiders
1890,CL6,Columbus Solons
1890,CLP,Cleveland Infants
1890,LS2,Louisville Colonels
1890,NY1,New York Giants
1890,NYP,New York Giants
1890,PH4,Philadelphia Athletics
1890,PHI,Philadelphia Phillies
1890,PHP,Philadelphia Athletics
1890,PIT,Pittsburg Alleghenys
1890,PTP,Pittsburgh Burghers
